c_personid,c_sequence,c_status_code,c_status_desc,c_status_desc_chn,c_firstyear,c_lastyear,c_source,c_pages,c_notes
39827,0,71,painter,畫家,0,0,7596,3185,
39828,0,71,painter,畫家,,,7596,3234,
39829,0,19,Daoist priest,道士,,,7596,3718,
39829,0,76,recluse,[隱士],0,0,7596,,
39829,0,100,student: university,[大學生],0,0,7596,,
39830,0,37,alchemist,煉丹家,0,0,7596,,入山中得役鬼治病之術，能追魂診脈，人有病妻則診其夫，父則診其子，有祟以法治之，無祟吞符亦安。
39830,0,262,student of medicine,醫學,,,7596,3186,
39832,0,40,civil office,[為官者：文],0,0,7596,,
39833,0,137,outer noblewoman,[外命婦],0,0,7596,,令人。
39834,0,141,dynastic martyr,死國難,0,0,7596,,官總管，景定元年三月贈十官
39836,0,141,dynastic martyr,死國難,0,0,7596,,德祐二年元兵下台州，郡守楊必大降，大昌率眾禦之。後遇元兵於黃土嶺，力戰而死。元兵屠其家。
39837,0,76,recluse,[隱士],0,0,7596,,
39840,0,16,concubine,妾,,,7596,3604,
39840,0,71,painter,畫家,0,0,7596,3604,善著色山水
39845,0,137,outer noblewoman,[外命婦],0,0,7596,,贈碩人
39846,0,147,filial son/daughter,孝子/孝女,0,0,7596,3399,
39848,0,137,outer noblewoman,[外命婦],0,0,7596,,碩人
39850,0,40,civil office,[為官者：文],0,0,7596,,
39851,0,71,painter,畫家,0,0,7596,,
39852,0,71,painter,畫家,0,0,7596,3377,
39854,0,150,dynastic loyalist,遺民,0,0,7596,,
39857,0,2,army officer,武將,0,0,7596,,
39859,0,40,civil office,[為官者：文],0,0,7596,,
39860,0,40,civil office,[為官者：文],0,0,7596,,
39860,0,150,dynastic loyalist,遺民,0,0,7596,,
39860,1,85,academy (shuyuan) director,書院山長,,,9599,3703,書院山長
39860,1,147,filial son/daughter,孝子/孝女,,,9599,3703,奉母
39861,0,94,teacher,收徒講學,,,7596,3381,
39861,0,107,local teacher,鄉先生,0,0,7596,,
39862,0,147,filial son/daughter,孝子/孝女,0,0,7596,,母亡，即葬，不塞墓門，歷三年，晝負土，夜拊棺而臥，為墳廣百尺。元豐中褒賜粟帛。
39866,0,40,civil office,[為官者：文],0,0,7596,,
39868,0,107,local teacher,鄉先生,0,0,7596,3196,為鄉先生，教授後進。
39869,0,40,civil office,[為官者：文],0,0,7596,,
39874,0,71,painter,畫家,0,0,7596,3387,
