c_personid,c_sequence,c_status_code,c_status_desc,c_status_desc_chn,c_firstyear,c_lastyear,c_source,c_pages,c_notes
40367,0,61,military,[武官],,,0,,
40367,0,141,dynastic martyr,死國難,,,0,,
40368,0,40,civil office,[為官者：文],,,0,,
40370,0,71,painter,畫家,,,7596,4573,
40371,0,8,buddhist monk,僧人,0,0,7596,24680,
40376,0,8,buddhist monk,僧人,,,7596,24679,
40377,0,71,painter,畫家,,,0,,
40378,0,52,literati,士人,,,7596,5399,劉克莊跋其詩判云：「李君雲仲，示詩三帙，讀而異之，問其譜系，果齋其諸父也。觀其詩詠，解峰徑畈其師也。君父師皆以其學魁天下，詩文特其緒餘耳。」
40379,0,8,buddhist monk,僧人,,,7596,24678,
40380,0,40,civil office,[為官者：文],,,0,,
40386,0,8,buddhist monk,僧人,,,7596,24677,
40386,0,235,ci lyric writer,詞人,,,7596,24677,
40387,0,8,buddhist monk,僧人,,,7596,24676,
40388,0,287,Yuanfu coalition member (元符黨),元符上書入籍者,,,,,
40389,0,40,civil office,[為官者：文],,,0,,
40393,0,157,honest official,良吏;循吏,,,7596,4426,
40395,0,40,civil office,[為官者：文],,,0,,
