c_personid,c_assoc_id,c_assoc_code,c_assoc_desc,c_assoc_desc_chn,c_assoc_first_year,c_assoc_last_year,c_addr_id,c_source,c_pages,c_notes
109597,28617,12,Impeached by,被Y彈劾,-1,,0,9599,10176,彈博州總管楊庭訓不之任狀（秋澗大全集84/2下）
112517,28617,12,Impeached by,被Y彈劾,-1,,0,9599,13415,論草寇鍾明亮事狀（秋澗大全集92/5下）
59197,29609,12,Impeached by,被Y彈劾,-1,,0,18417,lgid=316697,
65954,29752,12,Impeached by,被Y彈劾,-9999,,0,68002,lgid=293832-lgid=293834,
10374,30193,12,Impeached by,被Y彈劾,1272,,0,7596,9135,錢塘人 太學生 咸淳中上書劾賈似道 似道文致其泥金飾齋匾事竄瓊州 元世祖時
30204,30203,12,Impeached by,被Y彈劾,-1,,0,2067,lgid=65723,世宗初大禮議起鳳力○○○持正論以兄附張桂之議因并劾之旋自劾以謝兄遂○○○免歸
23603,30359,12,Impeached by,被Y彈劾,1180,,0,2224,職官七二之二八,淳熙七年六月十三日，知桂陽軍趙善珏特降一官放罷。以帥臣辛棄疾按其昏濁庸鄙，窠占軍伍，散失軍器，百姓賦科折銀兩贏餘入己故也。
99021,30359,12,Impeached by,被Y彈劾,1178,,0,2224,職官七二之二○,知興國軍黄茂材特降兩官，以江西安撫辛棄疾言茂材過數收納苗米，致人户陳訴故也。
65954,30619,12,Impeached by,被Y彈劾,-1,,0,2067,lgid=65755,論魏忠賢罪
62529,30849,12,Impeached by,被Y彈劾,-1,,0,2067,lgid=65672,
41612,33327,12,Impeached by,被Y彈劾,-1,,0,0,,
12087,34379,12,Impeached by,被Y彈劾,-1,,0,9599,10217,文妖（王常宗集3/10下）
68266,34701,12,Impeached by,被Y彈劾,-1,,0,2067,lgid=65724,時張璁桂蕚擅政粲劾其罪帝悟立斥之尋復用
129622,34701,12,Impeached by,被Y彈劾,-1,,0,2067,lgid=65724,時張璁桂蕚擅政粲劾其罪帝悟立斥之尋復用
125412,34727,12,Impeached by,被Y彈劾,-1,,0,2067,lgid=65727,嚴世蕃諸不法狀上廵按御史林潤潤以入奏世蕃伏誅
205725,34743,12,Impeached by,被Y彈劾,-1,,0,0,,《江南通志》65730：與同年○○○生顧允成等疏論房寰誣劾海瑞罪奪冠帶放還久之
69011,34786,12,Impeached by,被Y彈劾,-9999,,0,38843,lgid=725082,沈思孝䟽論居正奪情事
58978,35079,12,Impeached by,被Y彈劾,-1,,0,17477,9698-9701,
699803,35079,12,Impeached by,被Y彈劾,-9999,,0,38541,lgid=630820,
65954,35127,12,Impeached by,被Y彈劾,-1,,0,57941,lgid=1160817,
1649,38199,12,Impeached by,被Y彈劾,-1,,0,7596,1951,首論在廷大臣 草具將上 蔡京遣所親謂曰：慎勿言 當以此位相處 不答
8124,38733,12,Impeached by,被Y彈劾,-1,,0,7596,14555,朝老上書力諫 宜和末 復與陳東等上書論蔡京、童貫、王黼、李彥、梁師成、朱勔為六賊 編置道州 建炎改元
24657,38733,12,Impeached by,被Y彈劾,-1,,0,7596,14555,朝老上書力諫 宜和末 復與陳東等上書論蔡京、童貫、王黼、李彥、梁師成、朱勔為六賊 編置道州 建炎改元
38487,38733,12,Impeached by,被Y彈劾,-1,,0,7596,14555,朝老上書力諫 宜和末 復與陳東等上書論蔡京、童貫、王黼、李彥、梁師成、朱勔為六賊 編置道州 建炎改元
40516,38733,12,Impeached by,被Y彈劾,-1,,0,7596,14555,朝老上書力諫 宜和末 復與陳東等上書論蔡京、童貫、王黼、李彥、梁師成、朱勔為六賊 編置道州 建炎改元
