group,n_persons,top20_ratio,hhi,top5_in_lcc_ratio,top5_surnames,top10_surnames,top10_counts
魏晋,2643,0.61294,0.033122,0.932203,裴;張;李;崔;王,李;王;崔;裴;張;劉;楊;唐;盧;薛,323;148;145;145;90;82;72;69;66;66
隋唐,58217,0.621605,0.04021,0.510456,張;李;崔;鄭;王,李;王;張;崔;鄭;盧;劉;韋;楊;裴,8771;3474;3418;2573;2297;1762;1755;1651;1480;1425
