group,n_persons,n_officials,official_ratio,lcc_size,lcc_officials,lcc_official_ratio,shannon_diversity
魏晋,2643,170,0.064321,118,0,0.0,1.6979
隋唐,58217,1843,0.031657,16546,1228,0.074217,2.8546
