source_id,source_name,target_id,target_name,category,detail_types
53378,釋居則,3767,蘇軾,其他,佛寺記由Y所作|為Y作佛寺記
131,程筠,3767,蘇軾,其他,政績為Y所稱道|欣賞/器重|稱道Y之政績|被Y欣賞/器重
47238,張敦禮,3767,蘇軾,文學交往,致書Y|被致書由Y
12431,張九成,1759,汪應辰,師生,學生為Y|為Y之學生
12431,張九成,7045,劉安世,文學交往,書序由Y所作|為Y所著書作序
12431,張九成,29944,林表民,文學交往,書序由Y所作|為Y所著書作序
12431,張九成,3257,朱熹,其他,其學為Y所排|排Y之學|書跋由Y所作|為Y所著書作跋
12431,張九成,7197,周必大,文學交往,書跋由Y所作|為Y所著書作跋
12431,張九成,1488,司馬光,文學交往,書跋由Y所作|為Y所著書作跋
12431,張九成,3676,米芾,文學交往,書跋由Y所作|為Y所著書作跋
12431,張九成,3767,蘇軾,文學交往,書跋由Y所作|為Y所著書作跋
12431,張九成,28306,戴表元,文學交往,書跋由Y所作|為Y所著書作跋
145,錢勰,8078,李綱,墓誌傳記,墓誌銘由Y所作|為Y作墓誌銘
145,錢勰,7197,周必大,文學交往,書跋由Y所作|為Y所著書作跋
145,錢勰,1762,王安石,其他,其政策被Y反對/不支持|反對/不支持Y的政策
145,錢勰,3767,蘇軾,文學交往,致書Y|被致書由Y
145,錢勰,13104,錢龢,文學交往,致書Y|被致書由Y
147,錢公輔,1762,王安石,其他,不合|得罪Y|推薦|收到Y的答書|答Y書|被Y得罪|被Y推薦
147,錢公輔,1488,司馬光,其他,為Y作祭文|祭文由Y所作|致書Y|被致書由Y
147,錢公輔,3767,蘇軾,其他,哀辭由Y所作|為Y作哀辭
147,錢公輔,7005,陳襄,文學交往,致書Y|被致書由Y
147,錢公輔,7364,曾鞏,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
10389,袁桷,3257,朱熹,文學交往,書序由Y所作|書跋由Y所作|為Y所著書作序|為Y所著書作跋
10389,袁桷,28306,戴表元,其他,傳記作者為Y|墓誌銘由Y所作|字說、名述由Y所作|書序由Y所作|為Y作傳|為Y作墓誌銘|為Y作字說、名述|為Y作祭文|為Y作臨別贈言(送別詩、序)|為Y所著書作序|祭文由Y所作|臨別得到Y所作贈言(送別詩、序)
10389,袁桷,10801,虞集,其他,佛寺記由Y所作|墓誌銘由Y所作|為Y作佛寺記|為Y作墓誌銘|為Y作祭文|為Y作臨別贈言(送別詩、序)|祭文由Y所作|臨別得到Y所作贈言(送別詩、序)
10389,袁桷,1408,蒲宗孟,文學交往,書跋由Y所作|為Y所著書作跋
10389,袁桷,1762,王安石,文學交往,書跋由Y所作|為Y所著書作跋
10389,袁桷,1953,文彥博,文學交往,書跋由Y所作|為Y所著書作跋
10389,袁桷,3676,米芾,其他,書、畫由Y作跋|書跋由Y所作|為Y之書、畫作跋|為Y所著書作跋
10389,袁桷,3767,蘇軾,文學交往,書跋由Y所作|為Y所著書作跋
10389,袁桷,19865,李公麟,文學交往,書跋由Y所作|為Y所著書作跋
10389,袁桷,3591,劉震孫,其他,傳記作者為Y|為Y作傳
10389,袁桷,27853,程鉅夫,其他,傳記作者為Y|收到Y的贈詩、文|為Y作傳|贈詩、文
10389,袁桷,10389,袁桷,其他,為Y作祭文|為Y作行狀|祭文由Y所作|行狀由Y所作
10389,袁桷,20743,牟巘,其他,向Y致賀|從Y處收到賀詞 (occasion)
10389,袁桷,27957,吳師道,文學交往,致書Y|被致書由Y
49303,雷勝,3767,蘇軾,文學交往,書序由Y所作|為Y所著書作序
53400,釋知錫,3767,蘇軾,其他,佛寺記由Y所作|為Y作佛寺記
39080,王滌,3767,蘇軾,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名|為Y作祠記|祠記由Y所作|致書Y|被致書由Y
53419,釋省聰,1493,蘇轍,其他,佛寺記由Y所作|墓誌銘由Y所作|書序由Y所作|為Y作佛寺記|為Y作墓誌銘|為Y作祭文|為Y所著書作序|祭文由Y所作
53419,釋省聰,3767,蘇軾,其他,為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
39086,史炤,3767,蘇軾,師生,學生為Y|為Y之學生
39086,史炤,1651,蔡襄,其他,為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
39086,史炤,1953,文彥博,其他,同會
39087,史清卿,1493,蘇轍,師生,為Y之門人|門人為Y
39087,史清卿,3767,蘇軾,師生,為Y之門人|門人為Y
45232,郭用孚,3767,蘇軾,其他,從Y遊|從遊者為Y
53430,釋思聰,3767,蘇軾,其他,為Y作臨別贈言(送別詩、序)|稱道Y的詩作|臨別得到Y所作贈言(送別詩、序)|致書Y|被致書由Y|詩作為Y所稱道
16566,周邠,3767,蘇軾,其他,相唱和|致書Y|與Y遊|被致書由Y
51384,鄭惇方,3767,蘇軾,文學交往,書跋由Y所作|為Y所著書作跋
53438,釋若愚,3767,蘇軾,其他,稱道Y的詩作|詩作為Y所稱道
53442,釋重辯,3767,蘇軾,其他,傳記作者為Y|為Y作傳|致書Y|被致書由Y
22723,顏太初,1488,司馬光,文學交往,書序由Y所作|為Y所著書作序
22723,顏太初,3767,蘇軾,文學交往,書序由Y所作|為Y所著書作序
14538,陳慥,3767,蘇軾,其他,傳記作者為Y|為Y作傳|稱道Y的詩作|致書Y|被致書由Y|詩作為Y所稱道|論學
14538,陳慥,7111,黃庭堅,文學交往,收到Y的答書|答Y書|致書Y|被致書由Y
53453,釋祖堂,3767,蘇軾,其他,佛寺記由Y所作|墓誌銘由Y所作|為Y作佛寺記|為Y作墓誌銘
207,張景溫,3767,蘇軾,文學交往,致書Y|被致書由Y
10451,慕容彥逢,24489,單鍔,墓誌傳記,墓誌銘由Y所作|為Y作墓誌銘
10451,慕容彥逢,19865,李公麟,文學交往,書跋由Y所作|為Y所著書作跋
10451,慕容彥逢,7263,葛勝仲,其他,為Y作祭文|祭文由Y所作
10451,慕容彥逢,3767,蘇軾,文學交往,致書Y|被致書由Y
217,張方平,8043,范仲淹,其他,推薦|為Y作祭文|祭文由Y所作|致書Y|被Y推薦|被致書由Y
217,張方平,1092,李大臨,其他,推薦|被Y推薦
217,張方平,3767,蘇軾,其他,墓誌銘由Y所作|書序由Y所作|書跋由Y所作|為Y作墓誌銘|為Y作祭文|為Y所著書作序|為Y所著書作跋|祭文由Y所作|致書Y|被致書由Y
217,張方平,8022,趙槩,其他,書序由Y所作|為Y作祭文|為Y所著書作序|祭文由Y所作
217,張方平,3762,蘇洵,其他,墓表由Y所作|墓誌銘由Y所作|建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名|為Y作墓表|為Y作墓誌銘|致書Y|被致書由Y
217,張方平,50124,趙棠,墓誌傳記,墓誌銘由Y所作|為Y作墓誌銘
217,張方平,7084,王鞏,墓誌傳記,墓誌銘由Y所作|為Y作墓誌銘|為Y作行狀|行狀由Y所作
217,張方平,3624,樓鑰,文學交往,書跋由Y所作|為Y所著書作跋
217,張方平,7197,周必大,文學交往,書跋由Y所作|為Y所著書作跋
217,張方平,1762,王安石,其他,其政策被Y反對/不支持|反對/不支持Y的政策|致書Y|被致書由Y
217,張方平,1493,蘇轍,其他,某事由Y所乞|為Y乞某事|為Y作祭文|為Y作諡議|祭文由Y所作|諡議由Y所作
217,張方平,8116,蘇頌,其他,為Y作祭文|祭文由Y所作|致書Y|被致書由Y
217,張方平,1828,王益柔,其他,為Y作祭文|祭文由Y所作
217,張方平,1881,王素,其他,為Y作神道碑|為Y作祭文|神道碑由Y所作|祭文由Y所作
217,張方平,636,韓絳,文學交往,致書Y|被致書由Y
217,張方平,965,雷簡夫,文學交往,致書Y|被致書由Y
217,張方平,1651,蔡襄,文學交往,致書Y|被致書由Y
217,張方平,7111,黃庭堅,文學交往,致書Y|被致書由Y
217,張方平,8136,曾公亮,文學交往,致書Y|被致書由Y
217,張方平,1384,歐陽修,文學交往,收到Y的答書|答Y書
217,張方平,1488,司馬光,其他,上奏論Y|被Y奏論
41202,李德柔,3767,蘇軾,其他,為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
