dynasty,addr_chn,count,avg_lat,median_lat
清,建昌府,16,27.559717178,27.559717178
清,撫州府,16,27.984781265,27.984781265
清,華亭,16,31.009476,31.009476
清,蕪湖,16,31.334949493,31.334949493
清,休寧,15,29.781190872,29.781190872
清,內務府鑲黃旗包衣,15,,
清,吉安府,15,27.103239059,27.103239059
清,宛平,15,39.931427002,39.931427002
清,山陽,15,33.5027885744,33.502788544
清,正藍旗,15,,
清,無錫,15,31.5746136568,31.574613571
清,鑲紅旗,15,,
清,鑲藍旗,15,,
清,台州府,14,28.843132019,28.843132019
清,寶坻,14,39.725894928,39.725894928
清,中華人民共和國,13,,
清,三橋渡,12,,
清,寧晉,12,37.621086121,37.621086121
清,德清,12,30.553133011,30.553133011
清,正紅旗,12,,
清,江南道,12,,
清,美國,12,,
清,薊州,12,40.04386456816667,40.043865204
清,趙州直隸州,12,37.752925873,37.752925873
清,雲南省,12,25.045913696,25.045913696
清,南昌,11,28.674896196363637,28.67489624
清,吳縣,11,31.312709999999996,31.31271
清,浮梁,11,29.382741928000005,29.382741928
清,湖南省,11,28.198198317999996,28.198198318
清,南陽府,10,33.001678467,33.001678467
清,吳江,10,31.167065,31.167065
清,安仁,10,28.234671973799998,28.404430389
清,寶應,10,33.235946655,33.235946655
清,山陰,10,30.9481069246,30.004514694
清,常州府,10,31.782783508,31.782783508
清,平陰,10,36.2869339091,36.286933899
清,歙縣,10,29.865770272000002,29.86577034
清,永平府,10,39.877323151,39.877323151
清,湖廣道,10,,
清,信陽州,9,32.131118774,32.131118774
清,常熟,9,31.646582,31.646582
清,新建,9,28.674896239999995,28.67489624
清,會稽,9,30.004514762,30.004514694
清,桐城,9,31.052280284,31.052280426
清,漢陽,9,30.54524863644444,30.544374466
清,義大利,9,,
清,蔚州,9,39.840538025,39.840538025
清,餘姚,9,30.049066695999997,30.049066544
清,饒州府,9,28.994167327999996,28.994167328
清,定海,8,30.015159607,30.015159607
清,崑山,8,31.386108398,31.386108398
清,廣西省,8,25.280059814,25.280059814
清,武昌府,8,30.541385651,30.541385651
清,溧陽,8,31.430706018,31.430706024
清,臨江府,8,28.015569687,28.015569687
清,荷蘭國,8,,
清,貴州省,8,26.580778122,26.580778122
清,台灣道,7,,
清,嘉善,7,30.843824221142857,30.843824387
清,安國,7,,
清,山東省,7,36.650131226,36.650131226
