personid,name,one_liner,bio_paragraph
3767,蘇軾,蘇軾（1036-1101），宋人，眉山人，書法家、史學家、博學之人。,蘇軾，宋人，籍貫眉山。生於1036年，卒於1101年。為書法家、史學家、博學之人。一生主要活動於開封、眉山、杭州、雅州、湖州。與黃庭堅、周必大、李之儀、陸游、釋惠洪等人交遊唱和。
32540,李白,李白（701-762），唐人，任城人，書法家、幕僚、求仕。,李白，唐人，籍貫任城。生於701年，卒於762年。為書法家、幕僚、求仕。一生主要活動於當塗、潤州、長安、歷陽、乾封。與宋若思、杜甫、李陽冰、魏顥、李隆基(唐玄宗)等人交遊唱和。
3915,杜甫,杜甫（712-770），唐人，長安人，書法家、儒學、落第士人。,杜甫，唐人，籍貫長安。生於712年，卒於770年。為書法家、儒學、落第士人。一生主要活動於長安、華州、鳳翔府、洛陽、偃師。與李白、衛某(衛八)、元稹、蘇源明、范季明等人交遊唱和。
32227,白居易,白居易（772-846），唐人，太谷人，書法家、進士、士人。,白居易，唐人，籍貫太谷。生於772年，卒於846年。為書法家、進士、士人。一生主要活動於洛陽、新鄭、蘇州、杭州、下邽。與元稹、楊虞卿、顧況、白行簡、楊嗣復等人交遊唱和。
8175,岳飛,岳飛（1103-1141），宋人，相州人，孝子/孝女、熟諳兵法韜略、軍事家、武官。,岳飛，宋人，籍貫相州。生於1103年，卒於1141年。為孝子/孝女、熟諳兵法韜略、軍事家、武官。一生主要活動於臨安府、汜水、吉州、洪州、徽州。與万俟卨、胡閎休、秦檜、戚方、楊再興等人交遊唱和。
19713,李清照,李清照（1084-1155），宋女，歷城人，詩人、詞人、好金石。,李清照，宋女，籍貫歷城。生於1084年，卒於1155年。為詩人、詞人、好金石。一生主要活動於青州、臨安府、越州、萊州、歷城。與趙明誠、韓玉父、端木埰、薩雪如、毛晉等人交遊唱和。
32174,王維,王維（700-761），唐人，河東人，書法家、畫家、詩人。,王維，唐人，籍貫河東。生於700年，卒於761年。為書法家、畫家、詩人。一生主要活動於洛陽、長安、滎陽、登封、滑州。與裴耀卿、祖詠、綦毋潛、儲光羲、孟浩然等人交遊唱和。
1762,王安石,王安石（1021-1086），宋人，臨川人，書法家、畫家、詩人。,王安石，宋人，籍貫臨川。生於1021年，卒於1086年。為書法家、畫家、詩人。一生主要活動於臨川、江寧府。與黃庭堅、歐陽修、呂惠卿、李之儀、孫侔等人交遊唱和。
1488,司馬光,司馬光（1019-1086），宋人，夏縣人，宰執、為官者、經學家—左傳。,司馬光，宋人，籍貫夏縣。生於1019年，卒於1086年。為宰執、為官者、經學家—左傳。一生主要活動於夏縣、洛陽。與范祖禹、蘇軾、朱熹、王安石、文彥博等人交遊唱和。
