personid,name,dynasty,one_liner,bio_paragraph,word_count
3542,李曾伯,宋,李曾伯（0-0），宋人，嘉興人，財政官員。,李曾伯，宋人，籍貫嘉興。生於0年，卒於0年。為財政官員。一生主要活動於懷州、嘉興。與朱廣用、賈似道、別之傑、鮑義、陳賅等人交遊唱和。,66
7196,周南,宋,周南（1159-1213），宋人，吳縣人，收徒講學、為官者、思想家。,周南，宋人，籍貫吳縣。生於1159年，卒於1213年。為收徒講學、為官者、思想家。一生主要活動於吳縣。與葉適、趙士褭、周葵、朱熹、何氏(周虎母)等人交遊唱和。,79
8023,趙普,宋,趙普（922-992），宋人，洛陽人，宰執。,趙普，宋人，籍貫洛陽。生於922年，卒於992年。為宰執。一生主要活動於洛陽、薊州。與雷德驤、雷有鄰、王繼英、侯莫陳利用、王禹偁等人交遊唱和。,71
8118,孫沔,宋,孫沔，宋人，奉化人，宰執。,孫沔，宋人，籍貫奉化。為宰執。一生主要活動於奉化、會稽。與歐陽修、侯可、劉昴、王安石、陸佃等人交遊唱和。,52
10682,董逌,宋,董逌（0-0），宋人，宜興人，好金石、為官者。,董逌，宋人，籍貫宜興。生於0年，卒於0年。為好金石、為官者。一生主要活動於宜興、平陰、鄆州。與晁補之、許袤民、邵仲參、李季忱、李次升等人交遊唱和。,73
11829,劉珙,宋,劉珙（1122-1178），宋人，崇安人，理學家、宰執。,劉珙，宋人，籍貫崇安。生於1122年，卒於1178年。為理學家、宰執。一生主要活動於崇安。與朱熹、秦檜、真德秀、陳扃、熊禾等人交遊唱和。,68
27761,陳舜俞,宋,陳舜俞（0-1072），宋人，烏程人，強記;博學強記、為官者。,陳舜俞，宋人，籍貫烏程。生於0年，卒於1072年。為強記;博學強記、為官者。一生主要活動於烏程。與陸游、釋寶寧、沈遘、劉一止、歐陽修等人交遊唱和。,73
1449,沈遘,宋,沈遘（1025-1067），宋人，錢塘人，財政官員。,沈遘，宋人，籍貫錢塘。生於1025年，卒於1067年。為財政官員。一生主要活動於錢塘。與蘇軾、王安石、江鉞、劉克莊、歐陽修等人交遊唱和。,68
2112,元絳,宋,元絳（1008-1083），宋人，吳縣人，財政官員、宰執。,元絳，宋人，籍貫吳縣。生於1008年，卒於1083年。為財政官員、宰執。一生主要活動於吳縣、錢塘、餘杭。與危固、閭丘孝終、王安石、強至、米芾等人交遊唱和。,77
3728,史嵩之,宋,史嵩之（1189-1256），宋人，鄞縣人，宰執。,史嵩之，宋人，籍貫鄞縣。生於1189年，卒於1256年。為宰執。一生主要活動於鄞縣。與家大酉、史璟卿、王持垕、郭磊卿、呂午等人交遊唱和。,68
