作品编号	得分构型	作品类别
2022016118	110	数媒游戏与交互设计专业组
2022012262	110	数媒静态设计
2022043967	110	数媒静态设计专业组
2022027308	110	软件应用与开发
2022027922	110	软件应用与开发
2022028950	110	数媒动漫与短片
2022043233	110	微课与教学辅助
2022043293	110	微课与教学辅助
2022043170	110	数媒静态设计专业组
2022045268	200	微课与教学辅助
2022029720	110	软件应用与开发
2022044842	110	数媒静态设计专业组
2022043116	110	微课与教学辅助
2022012843	110	信息可视化设计
2022012780	110	软件应用与开发
2022043119	110	数媒动漫与短片专业组
2022045452	200	信息可视化设计
2022043102	110	物联网应用
2022043547	110	信息可视化设计
2022023056	110	软件应用与开发
2022043036	200	微课与教学辅助
2022037370	110	数媒动漫与短片
2022037376	200	数媒动漫与短片
2022013313	110	微课与教学辅助
2022042989	110	微课与教学辅助
2022043030	110	微课与教学辅助
2022037137	110	大数据应用
2022016763	110	人工智能应用
2022042774	110	数媒静态设计专业组
2022042765	200	信息可视化设计
2022013586	110	数媒动漫与短片
2022042874	110	微课与教学辅助
2022013457	110	微课与教学辅助
2022042752	110	信息可视化设计
2022030277	110	微课与教学辅助
2022037096	110	数媒游戏与交互设计专业组
2022036896	110	信息可视化设计
2022022549	110	软件应用与开发
2022042499	110	数媒动漫与短片专业组
2022032183	110	数媒动漫与短片
2022030487	110	数媒动漫与短片
2022040869	110	数媒游戏与交互设计
2022014046	200	信息可视化设计
2022042621	110	数媒动漫与短片专业组
2022022176	200	数媒动漫与短片专业组
2022022036	110	数媒静态设计
2022041890	110	物联网应用
2022046596	200	数媒静态设计专业组
2022032781	110	微课与教学辅助
2022040517	200	信息可视化设计
2022040619	110	软件应用与开发
2022014358	110	信息可视化设计
2022032347	110	微课与教学辅助
2022040847	200	数媒动漫与短片
2022034055	110	软件应用与开发
2022038249	110	数媒动漫与短片
2022045917	200	人工智能应用
2022037632	110	数媒动漫与短片专业组
2022038817	110	数媒游戏与交互设计
2022040168	200	数媒静态设计
2022047312	110	数媒静态设计专业组
2022036850	110	数媒游戏与交互设计
2022036834	110	数媒静态设计
2022015538	110	微课与教学辅助
2022015527	110	数媒静态设计
2022015547	110	软件应用与开发
2022015523	200	人工智能应用
2022021076	200	数媒静态设计专业组
2022015203	110	微课与教学辅助
2022025486	110	人工智能应用
2022037534	110	软件应用与开发
2022036804	110	数媒动漫与短片
2022034866	110	数媒动漫与短片专业组
2022015564	110	物联网应用
2022036800	110	物联网应用
2022043365	200	数媒游戏与交互设计
2022035307	110	软件应用与开发
2022024025	110	软件应用与开发
2022016184	110	微课与教学辅助
2022020783	110	软件应用与开发
2022029686	110	微课与教学辅助
2022023029	110	软件应用与开发
2022012738	200	数媒游戏与交互设计
2022020557	110	信息可视化设计
2022021931	110	人工智能应用
2022031069	110	信息可视化设计
2022020559	110	数媒游戏与交互设计专业组
2022035475	110	微课与教学辅助
2022039588	110	数媒动漫与短片专业组
2022018871	200	数媒动漫与短片专业组
2022018563	110	人工智能应用
2022035732	110	数媒动漫与短片
2022036072	110	软件应用与开发
2022035834	200	信息可视化设计
2022034456	200	数媒动漫与短片
2022036552	110	微课与教学辅助
2022033454	110	人工智能应用
2022036606	110	数媒静态设计
2022044338	110	数媒静态设计专业组
2022042904	200	信息可视化设计
2022021073	110	数媒动漫与短片专业组
2022037619	110	数媒动漫与短片专业组
2022020190	100	数媒静态设计
2022020103	100	数媒静态设计
2022020475	100	信息可视化设计
2022020303	100	数媒动漫与短片专业组
2022019703	100	软件应用与开发
2022014428	100	大数据应用
2022017677	100	软件应用与开发
2022010356	100	大数据应用
2022009864	100	微课与教学辅助
2022020603	100	数媒静态设计专业组
2022010182	100	微课与教学辅助
2022020766	100	信息可视化设计
2022023106	100	微课与教学辅助
2022020817	100	大数据应用
2022011623	100	微课与教学辅助
2022047165	100	数媒动漫与短片专业组
2022011149	100	数媒动漫与短片专业组
2022021797	100	数媒静态设计
2022015562	100	大数据应用
2022009911	100	数媒游戏与交互设计专业组
2022015258	100	人工智能应用
2022014734	100	人工智能应用
2022014966	100	数媒静态设计
2022014421	100	软件应用与开发
2022010279	100	软件应用与开发
2022009903	100	人工智能应用
2022014194	100	微课与教学辅助
2022022095	100	人工智能应用
2022017295	100	大数据应用
2022013679	100	微课与教学辅助
2022014093	100	微课与教学辅助
2022022694	100	数媒动漫与短片专业组
2022013929	100	数媒游戏与交互设计专业组
2022022775	100	人工智能应用
2022013697	100	物联网应用
2022017168	100	软件应用与开发
2022017281	100	物联网应用
